Gen_Index,zone,capacity,Ramp_Rate,Ramp_Start,Ramp_Shutdown
Gilbert C1,EAST,31.0,6.2,29.45,3.1
Gilbert 7,EAST,70.0,14.0,66.5,7.0
Gilbert 5,EAST,70.0,14.0,66.5,7.0
Gilbert 4,EAST,70.0,14.0,66.5,7.0
Gilbert C2,EAST,31.0,6.2,29.45,3.1
Gilbert CT 9,EAST,183.0,36.6,173.85,18.3
Gilbert 8CC,EAST,117.1,23.42,111.24499999999999,11.71
Bergen 3,EAST,24.0,4.800000000000001,22.799999999999997,2.4000000000000004
Bergen 2CC,EAST,596.0,119.2,566.1999999999999,59.6
Bergen 1CC,EAST,675.0,135.0,641.25,67.5
Burlington 092,EAST,52.0,10.4,49.4,5.2
Burlington 093,EAST,52.0,10.4,49.4,5.2
Burlington 124,EAST,42.0,8.4,39.9,4.2
Burlington 091,EAST,52.0,10.4,49.4,5.2
Burlington 112,EAST,52.0,10.4,49.4,5.2
Burlington 123,EAST,42.0,8.4,39.9,4.2
Burlington 113,EAST,52.0,10.4,49.4,5.2
Burlington 008,EAST,24.0,4.800000000000001,22.799999999999997,2.4000000000000004
Burlington 122,EAST,42.0,8.4,39.9,4.2
Burlington 111,EAST,52.0,10.4,49.4,5.2
Burlington 094,EAST,52.0,10.4,49.4,5.2
Burlington 114,EAST,52.0,10.4,49.4,5.2
Burlington 121,EAST,42.0,8.4,39.9,4.2
Edison 32,EAST,48.0,9.600000000000001,45.599999999999994,4.800000000000001
Edison 34,EAST,48.0,9.600000000000001,45.599999999999994,4.800000000000001
Edison 13,EAST,48.0,9.600000000000001,45.599999999999994,4.800000000000001
Edison 31,EAST,48.0,9.600000000000001,45.599999999999994,4.800000000000001
Edison 24,EAST,48.0,9.600000000000001,45.599999999999994,4.800000000000001
Edison 14,EAST,48.0,9.600000000000001,45.599999999999994,4.800000000000001
Edison 33,EAST,48.0,9.600000000000001,45.599999999999994,4.800000000000001
Edison 21,EAST,48.0,9.600000000000001,45.599999999999994,4.800000000000001
Edison 12,EAST,48.0,9.600000000000001,45.599999999999994,4.800000000000001
Edison 11,EAST,48.0,9.600000000000001,45.599999999999994,4.800000000000001
Edison 22,EAST,48.0,9.600000000000001,45.599999999999994,4.800000000000001
Edison 23,EAST,48.0,9.600000000000001,45.599999999999994,4.800000000000001
Essex 123,EAST,53.0,10.600000000000001,50.349999999999994,5.300000000000001
Essex 122,EAST,53.0,10.600000000000001,50.349999999999994,5.300000000000001
Essex 114,EAST,53.0,10.600000000000001,50.349999999999994,5.300000000000001
Essex 103,EAST,48.0,9.600000000000001,45.599999999999994,4.800000000000001
Essex 121,EAST,53.0,10.600000000000001,50.349999999999994,5.300000000000001
Essex 101,EAST,48.0,9.600000000000001,45.599999999999994,4.800000000000001
Essex 9,EAST,93.0,18.6,88.35,9.3
Essex 104,EAST,48.0,9.600000000000001,45.599999999999994,4.800000000000001
Essex 124,EAST,53.0,10.600000000000001,50.349999999999994,5.300000000000001
Essex 112,EAST,53.0,10.600000000000001,50.349999999999994,5.300000000000001
Essex 111,EAST,53.0,10.600000000000001,50.349999999999994,5.300000000000001
Essex 113,EAST,53.0,10.600000000000001,50.349999999999994,5.300000000000001
Essex 102,EAST,48.0,9.600000000000001,45.599999999999994,4.800000000000001
Hudson 2,EAST,620.0,124.0,589.0,62.0
Kearney 133,EAST,46.9,9.38,44.555,4.69
Kearney 132,EAST,46.9,9.38,44.555,4.69
Kearney 134,EAST,46.9,9.38,44.555,4.69
Kearney 142,EAST,46.9,9.38,44.555,4.69
Kearney 124,EAST,44.0,8.8,41.8,4.4
Kearney 131,EAST,46.9,9.38,44.555,4.69
Kearney 09,EAST,24.0,4.800000000000001,22.799999999999997,2.4000000000000004
Kearney 122,EAST,44.0,8.8,41.8,4.4
Kearney 121,EAST,44.0,8.8,41.8,4.4
Kearney 141,EAST,46.9,9.38,44.555,4.69
Kearney 123,EAST,44.0,8.8,41.8,4.4
Linden 1,EAST,642.9,128.58,610.755,64.29
Linden 2,EAST,643.1,128.62,610.9449999999999,64.31
Linden 8,EAST,98.0,19.6,93.1,9.8
Linden 7,EAST,98.0,19.6,93.1,9.8
Linden 6,EAST,86.0,17.2,81.7,8.6
Linden 5,EAST,86.0,17.2,81.7,8.6
Mercer 1,EAST,325.0,65.0,308.75,32.5
Mercer 2,EAST,325.0,65.0,308.75,32.5
Mercer 3,EAST,140.0,28.0,133.0,14.0
National Park,EAST,24.0,4.800000000000001,22.799999999999997,2.4000000000000004
Salem 1,EAST,1174.0,234.8,1115.3,117.4
Salem 3,EAST,46.0,9.200000000000001,43.699999999999996,4.6000000000000005
Salem 2,EAST,1155.8,231.16,1098.01,115.58
Sewaren 1,EAST,107.0,21.400000000000002,101.64999999999999,10.700000000000001
Sewaren 2,EAST,120.0,24.0,114.0,12.0
Sewaren 6,EAST,140.0,28.0,133.0,14.0
Sewaren 3,EAST,109.0,21.8,103.55,10.9
Sewaren 4,EAST,127.0,25.400000000000002,120.64999999999999,12.700000000000001
Vineland CT 11,EAST,62.9,12.58,59.754999999999995,6.29
Gaston 4,EAST,0.0,11.4,54.15,5.7
Gaston 2,EAST,0.0,11.200000000000001,53.199999999999996,5.6000000000000005
Gaston 1,EAST,0.0,11.200000000000001,53.199999999999996,5.6000000000000005
Gaston 3,EAST,0.0,11.200000000000001,53.199999999999996,5.6000000000000005
Roanoke Rapids 1,EAST,0.0,5.2,24.7,2.6
Roanoke Rapids 3,EAST,0.0,5.0,23.75,2.5
