Gen_Index,Name,Category,Capacity,Fuel_Cost
639,Wallenpaupack 1,HD,22,5
640,West Shore 1,CT,18,50
641,West Shore 2,CT,18,50
642,Williamsport 1,CT,18,50
643,Williamsport 2,CT,18,50
644,Chester 9,CT,18,50
645,Chester 8,CT,18,50
646,Chester 7,CT,18,50
650,Delaware 12,CT,18,50
651,Delaware 11,CT,18,50
654,Delaware 09,CT,20,50
655,Delaware 10,CT,18,50
657,Eddystone 10,CT,18,50
658,Eddystone 30,CT,20,50
659,Eddystone 20,CT,18,50
660,Eddystone 04,ST,380,25
661,Eddystone 40,CT,20,50
662,Eddystone 03,ST,380,25
665,Falls 2,CT,20,50
666,Falls 1,CT,20,50
667,Falls 3,CT,20,50
668,Moser 2,CT,20,50
669,Moser 3,CT,20,50
670,Moser 1,CT,20,50
671,Muddy Run 2,HD,133,5
672,Muddy Run 3,HD,134,5
673,Muddy Run 1,HD,134,5
674,Muddy Run 4,HD,134,5
675,Muddy Run 5,HD,134,5
676,Muddy Run 7,HD,134,5
677,Muddy Run 8,HD,134,5
678,Muddy Run 6,HD,133,5
679,Peach Bottom 3,NU,1112,10
680,Peach Bottom 2,NU,1112,10
681,Richmond 91,CT,66,50
682,Richmond 92,CT,66,50
683,Schuylkill 10,CT,18,50
684,Schuylkill 11,CT,20,50
687,Southwark 6,CT,18,50
688,Southwark 3,CT,18,50
689,Southwark 4,CT,18,50
690,Southwark 5,CT,18,50
691,Safe Harbor 08,HD,37,5
692,Safe Harbor 05,HD,33,5
693,Safe Harbor 10,HD,38,5
694,Safe Harbor 09,HD,38,5
695,Safe Harbor 07,HD,32,5
696,Safe Harbor 01,HD,32,5
697,Safe Harbor 11,HD,38,5
698,Safe Harbor 06,HD,32,5
699,Safe Harbor 12,HD,38,5
700,Safe Harbor 04,HD,32,5
701,Safe Harbor 02,HD,32,5
702,Safe Harbor 03,HD,33,5
704,Hunlock 3,CC,24,30
705,Hunlock 5,CC,48,30
706,Hunlock 6,CC,48,30
712,Cordell Hull 3,HD,33,5
713,Cordell Hull 1,HD,33,5
714,Cordell Hull 2,HD,33,5
715,Dale Hollow 3,HD,18,5
716,Dale Hollow 2,HD,18,5
717,Dale Hollow 1,HD,18,5
718,Old Hickory 1,HD,25,5
719,Old Hickory 2,HD,25,5
720,Old Hickory 3,HD,25,5
721,Old Hickory 4,HD,25,5
722,J Percy Priest,HD,28,5
723,Buck 1,HD,3,5
724,Buck 3,HD,3,5
725,Buck 2,HD,3,5
726,Byllesby 1,HD,5.4,5
727,Byllesby 3,HD,5.4,5
728,Byllesby 2,HD,5.4,5
729,Byllesby 4,HD,5.4,5
730,Claytor 2,HD,18.8,5
731,Claytor 3,HD,18.8,5
732,Claytor 4,HD,18.8,5
733,Claytor 1,HD,18.8,5
734,Clinch River 2,ST,230,25
735,Clinch River 1,ST,230,25
739,Leesville 2,HD,25,5
740,Leesville 1,HD,25,5
741,Niagara 1,HD,2,5
742,Niagara 2,HD,2,5
743,Reusens Hydro,HD,12.5,5
749,Smith Mtn 3,HD,105,5
750,Smith Mtn 5,HD,66,5
751,Smith Mtn 1,HD,66,5
752,Smith Mtn 4,HD,174,5
753,Smith Mtn 2,HD,174,5
754,Bayview 16,DS,12,80
755,Tasley 10,CT,33,50
763,Chesterfield 6,ST,671,25
764,Chesterfield 4,ST,171,25
765,Chesterfield 3,ST,105,25
766,Chesterfield 5,ST,317,25
767,Chesterfield 7,CC,232,30
768,Chesterfield 8,CC,235,30
769,Cushaw 1,HD,2,5
770,Low Moor GT 1,CT,12,50
771,Low Moor GT 2,CT,12,50
772,Low Moor GT 4,CT,12,50
773,Low Moor GT 3,CT,12,50
774,Northern Neck GT 2,CT,19,50
775,Northern Neck GT 3,CT,19,50
776,Northern Neck GT 1,CT,19,50
777,Northern Neck GT 4,CT,19,50
778,Chesapeake GT4,CT,18,50
779,Chesapeake GT1,CT,19,50
783,Chesapeake GT6,CT,18,50
789,Chesapeake GT2,CT,18,50
791,Possum Point GT 2,CT,16,50
793,Possum Point GT 4,CT,16,50
794,Possum Point GT 1,CT,16,50
795,Possum Point 5,ST,786,25
796,Possum Point GT 3,CT,16,50
797,Possum Point 4,ST,221,25
798,Possum Point 3,ST,105,25
799,Possum Point GT 6,CT,16,50
800,Possum Point GT 5,CT,16,50
801,Possum Point 6,CC,610,30
802,Surry 2,NU,815,10
803,Surry 1,NU,810,10
804,Yorktown 1,ST,163,25
805,Yorktown 2,ST,172,25
806,Yorktown 3,ST,820,25
807,Kerr Dam 2,HD,37,5
808,Kerr Dam 5,HD,37,5
809,Kerr Dam 4,HD,37,5
810,Kerr Dam 3,HD,37,5
811,Kerr Dam 6,HD,37,5
812,Kerr Dam 7,HD,37,5
813,Kerr Dam 1,HD,14,5
814,Philpott 1,HD,7,5
815,Philpott 3,HD,1,5
816,Philpott 2,HD,7,5
817,Joliet 7,ST,518,25
818,Joliet 8,ST,518,25
819,Amos 1,ST,800,25
820,Amos 3,ST,1300,25
821,Amos 2,ST,800,25
829,WVU/MEA,ST,50,25
833,Fort Martin 2,ST,557,25
834,Fort Martin 1,ST,552,25
835,Harrison 2,ST,642,25
836,Harrison 3,ST,651,25
837,Harrison 1,ST,640,25
848,Mitchell (AEP) 1,ST,800,25
851,Mitchell (AEP) 2,ST,800,25
852,Mount Storm 3,ST,536,25
853,Mount Storm 2,ST,536,25
854,Mount Storm GT 1,CT,16,50
855,Mount Storm 1,ST,536,25
856,Easton 21,DS,6.3,80
857,Easton201,DS,1.5,80
858,Easton 24,DS,6.3,80
859,Easton202,DS,1.5,80
860,Easton 23,DS,6.3,80
861,Easton 204,CT,5.1,50
862,Easton 22,DS,6.3,80
863,Easton 203,CT,5.1,50
864,Greenup 1,HD,23.4,5
865,Greenup 2,HD,23.4,5
866,Greenup 3,HD,23.4,5
867,Glen Ferris 6 (Hawks Nest),HD,0.33,5
868,Glen Ferris 2 (Hawks Nest),HD,0.33,5
869,Glen Ferris 5 (Hawks Nest),HD,0.33,5
870,Glen Ferris 1 (Hawks Nest),HD,0.33,5
871,Glen Ferris 4 (Hawks Nest),HD,0.33,5
872,Glen Ferris 3 (Hawks Nest),HD,0.33,5
873,Glen Ferris 7 (Hawks Nest),HD,1.68,5
874,Glen Ferris 8 (Hawks Nest),HD,1.68,5
875,Hannibal Dam,HD,29,5
876,NEPCO NUG,ST,52,25
877,MH50 (Sunoil),CT,53,50
879,York County RR NUG,ST,30,25
880,Archbald,ST,19,25
881,PEI 5,CT,4.6,50
882,Archbald 2,CT,44,50
883,PEI 6,CT,4.6,50
885,Paxton Creek NUG,DS,12,80
886,Newark Bay COGEN,CC,147,30
887,Glatfelter NUG,ST,35,25
888,Kimberly Clark,ST,55,25
889,Bayonne COGEN NUG,CC,174,30
890,Rosemary 1,CC,198,30
891,Eagle Point COGEN NUG,CC,195,30
894,Westwood 1,ST,30,25
899,MCRRF1,ST,50,25
900,Covanta Fairfax 1 (Ogden Martin),ST,63,25
902,Panther Creek NUG,ST,80,25
908,Parlin ST1,CC,23,30
909,Parlin CT1,CC,39,30
910,Parlin CT2,CC,39,30
911,Parlin ST2,CC,23,30
912,Cumberland CT 2,CT,90,50
913,Cumberland CT 1,CT,96,50
914,Marcal NUG,CC,47,30
915,Lancaster County RR NUG,ST,30,25
916,Wheelabrator-Frackville NUG,ST,43,25
917,Gloucester NUG,ST,12,25
918,Northampton,ST,110,25
919,ALD 6,HD,8,5
920,PE Hydro,HD,3,5
921,ALD 5,HD,7,5
922,Union County Resource Recovery,ST,39,25
923,Bellmeade,CC,250,30
924,Scrubgrass NUG,ST,85,25
925,Mecklenburg 1 (Buggs Is),ST,69,25
926,Mecklenburg 2 (Buggs Is),ST,69,25
927,Doswell CC2 (4Rivers5),CC,363,30
928,Doswell CC1 (4Rivers5),CC,363,30
929,Doswell CT (4Rivers1),CT,182,50
930,Yough Dam NUG,HD,5,5
931,I95 LF Phase I,DS,3,80
932,Great Falls Hydro NUG,HD,11,5
935,Elizabeth River 2,CT,125,50
936,Elizabeth River 1,CT,125,50
938,Elizabeth River 3,CT,125,50
939,Pittsylvania (Hurt),ST,80,25
942,North Wales D 1,DS,2,80
943,Conemaugh Hydro NUG,HD,8,5
947,Smith CT 3,CT,142,50
948,Smith CT 10,CT,107,50
949,Smith CT 5,CT,98,50
950,Smith CT 6,CT,98,50
951,Smith CT 1,CT,142,50
952,Smith CT 4,CT,98,50
953,Smith CT 7,CT,98,50
954,Smith CT 9,CT,107,50
955,Smith CT 2,CT,142,50
956,Rensselaer Cogen,CC,82.7,30
960,Spruance 3 (Richmond),ST,47,25
961,Spruance 1 (Richmond),ST,58,25
962,Spruance 2 (Richmond),ST,58,25
963,Spruance 4 (Richmond),ST,47,25
966,Birchwood 1,ST,238,25
968,Covanta Plymouth (Montenay),ST,28,25
969,Schuylkill Energy NUG,ST,88,25
