date,pjm_pv_jeremy_scaled_3_28,NREL_wind_scaled
1/16/2007,0,0.209284047
1/16/2007,0,0.187448495
1/16/2007,0,0.177000627
1/17/2007,0,0.166400744
1/17/2007,0,0.155016248
1/17/2007,0,0.168914333
1/17/2007,0,0.149715662
1/17/2007,0,0.161592391
1/17/2007,0,0.16155936
1/17/2007,0,0.167821602
1/17/2007,0,0.146234845
1/17/2007,0.103205912,0.142454888
1/17/2007,0.248784172,0.097324937
1/17/2007,0.337885866,0.070620787
1/17/2007,0.371041611,0.077819423
1/17/2007,0.393470216,0.062776902
1/17/2007,0.395618879,0.062812436
1/17/2007,0.361425731,0.069115522
1/17/2007,0.296812376,0.077796486
1/17/2007,0.190408864,0.10400029
1/17/2007,0.017016866,0.157549751
1/17/2007,0,0.227840629
1/17/2007,0,0.303324037
1/17/2007,0,0.350938898
1/17/2007,0,0.368645258
1/17/2007,0,0.387883393
1/17/2007,0,0.43477499
1/18/2007,0,0.437421243
1/18/2007,0,0.414214614
1/18/2007,0,0.406727703
1/18/2007,0,0.417755906
1/18/2007,0,0.404074371
1/18/2007,0,0.395769211
1/18/2007,0,0.398977452
1/18/2007,0,0.430575805
1/18/2007,0.02208532,0.40870691
1/18/2007,0.119439841,0.342236571
1/18/2007,0.151710232,0.306340338
1/18/2007,0.158746403,0.346765086
1/18/2007,0.137426736,0.391705417
1/18/2007,0.126380391,0.427930598
1/18/2007,0.096006401,0.441203592
1/18/2007,0.058195064,0.433664818
1/18/2007,0.038524069,0.48181537
1/18/2007,0.002126979,0.563562218
1/18/2007,0,0.584207105
1/18/2007,0,0.589958139
1/18/2007,0,0.605960217
1/18/2007,0,0.5694829
1/18/2007,0,0.576740956
1/18/2007,0,0.670250219
1/19/2007,0,0.636249912
1/19/2007,0,0.616472403
1/19/2007,0,0.617289006
1/19/2007,0,0.60611284
1/19/2007,0,0.605745452
1/19/2007,0,0.564053031
1/19/2007,0,0.554034653
1/19/2007,0,0.551174444
1/19/2007,0.056817742,0.505426522
1/19/2007,0.152830216,0.447311576
1/19/2007,0.243592463,0.430536651
1/19/2007,0.255292974,0.446085975
1/19/2007,0.215464561,0.475337083
