"","UTILUNIT","ID6","ORISPL","RATINGMW","LAT","LON"
"621","212-159","ST","3148",850,40.797762,-75.105416
"622","212-344","CT","3148",24,40.797762,-75.105416
"623","212-343","CT","3148",24,40.797762,-75.105416
"624","212-110","ST","3148",150,40.797762,-75.105416
"625","212-158","ST","3148",850,40.797762,-75.105416
"626","212-157","ST","3149",766,41.0714,-76.6672
"627","212-149","ST","3149",761,41.0714,-76.6672
"628","212-103","ST","3149",15,41.0714,-76.6672
"629","263-348","CT","3152",24,40.8361,-76.825
"630","263-420","DS","3152",3,40.8361,-76.825
"631","263-421","DS","3152",3,40.8361,-76.825
"632","263-101","ST","3152",76,40.8361,-76.825
"633","263-347","CT","3152",24,40.8361,-76.825
"634","212-806","ST","3152",255,40.8361,-76.825
"635","263-102","ST","3152",76,40.8361,-76.825
"636","263-109","ST","3152",134,40.8361,-76.825
"637","263-103","ST","3152",103,40.8361,-76.825
"638","262-539","HD","3153",22,41.467858,-75.130895
"639","262-538","HD","3153",22,41.467858,-75.130895
"640","212-341","CT","3154",18,40.1908,-76.94579
"641","212-342","CT","3154",18,40.1908,-76.94579
"642","212-334","CT","3155",18,41.2361,-77.00755
"643","212-335","CT","3155",18,41.2361,-77.00755
"644","213-383","CT","3157",18,39.8301,-75.3837
"645","213-382","CT","3157",18,39.8301,-75.3837
"646","213-381","CT","3157",18,39.8301,-75.3837
"647","213-130","ST","3159",211,40.1531,-75.5294
"648","213-402","DS","3159",2.7,40.1531,-75.5294
"649","213-129","ST","3159",147,40.1531,-75.5294
"650","213-387","CT","3160",18,39.968021,-75.125203
"651","213-386","CT","3160",18,39.968021,-75.125203
"652","213-403","DS","3160",2.7,39.968021,-75.125203
"653","213-127","ST","3160",128,39.968021,-75.125203
"654","213-384","CT","3160",20,39.968021,-75.125203
"655","213-385","CT","3160",18,39.968021,-75.125203
"656","213-128","ST","3160",128,39.968021,-75.125203
"657","213-373","CT","3161",18,39.858,-75.323
"658","213-375","CT","3161",20,39.858,-75.323
"659","213-374","CT","3161",18,39.858,-75.323
"660","213-135","ST","3161",380,39.858,-75.323
"661","213-376","CT","3161",20,39.858,-75.323
"662","213-134","ST","3161",380,39.858,-75.323
"663","213-132","ST","3161",288,39.858,-75.323
"664","213-133","ST","3161",318,39.858,-75.323
"665","213-394","CT","3162",20,40.176486,-74.789976
"666","213-393","CT","3162",20,40.176486,-74.789976
"667","213-395","CT","3162",20,40.176486,-74.789976
"668","213-391","CT","3163",20,40.2352,-75.6193
"669","213-392","CT","3163",20,40.2352,-75.6193
"670","213-390","CT","3163",20,40.2352,-75.6193
"671","213-522","HD","3164",133,39.8076,-76.2993
"672","213-523","HD","3164",134,39.8076,-76.2993
"673","213-521","HD","3164",134,39.8076,-76.2993
"674","213-524","HD","3164",134,39.8076,-76.2993
"675","213-525","HD","3164",134,39.8076,-76.2993
"676","213-527","HD","3164",134,39.8076,-76.2993
"677","213-528","HD","3164",134,39.8076,-76.2993
"678","213-526","HD","3164",133,39.8076,-76.2993
"679","213-202","NU","3166",1226.7,39.758936,-76.268742
"680","213-201","NU","3166",1223.7,39.758936,-76.268742
"681","213-318","CT","3168",66,39.984469,-75.075247
"682","213-319","CT","3168",66,39.984469,-75.075247
"683","213-388","CT","3169",18,39.9419,-75.1883
"684","213-389","CT","3169",20,39.9419,-75.1883
"685","213-405","DS","3169",3,39.9419,-75.1883
"686","213-131","ST","3169",175,39.9419,-75.1883
