Gen_Index,Fuel_Cost,Pmin,start_cost,Can_Spin
951,47.82147171,0.4,3550,1
952,47.82147171,0.4,2450,1
953,47.82147171,0.4,2450,1
954,47.82147171,0.4,2675,1
955,47.82147171,0.4,3550,1
956,32.95592773,0.4,8270,1
960,21.18894152,0.4,4700,1
961,21.18894152,0.4,5800,1
962,21.18894152,0.4,5800,1
963,21.18894152,0.4,4700,1
966,23.20374993,0.4,23800,1
968,40.51942415,0.4,2800,1
969,32.17830506,0.4,8800,1
970,21.70291473,0.4,4900,1
971,28.64587093,0.4,26200,1
972,38.24252417,0.4,5100,1
973,157.4806444,0.25,75,1
974,36.53930213,0.4,4800,1
976,94.02515723,0.25,75,1
977,94.02515723,0.25,175,1
978,26.37485819,0.4,15000,1
980,30.28764886,0.4,23000,1
981,30.69114123,0.4,14400,1
982,30.69114123,0.4,14400,1
983,0,0,0,0
984,0,0,0,0
985,0,0,0,0
986,0,0,0,0
987,0,0,0,0
988,0,0,0,0
989,0,0,0,0
990,0,0,0,0
991,0,0,0,0
992,0,0,0,0
993,0,0,0,0
994,0,0,0,0
995,0,0,0,0
996,193.5386798,0.25,125,1
997,133.4013307,0.25,125,1
998,133.4013307,0.25,240,1
999,149.7998161,0.25,125,1
1005,42.03455068,0.4,750,1
1006,42.03455068,0.4,2750,1
1007,42.03455068,0.4,2750,1
1008,42.03455068,0.4,2750,1
1009,49.26635979,0.4,2200,1
1017,27.22178934,0.4,30000,1
1018,27.22178934,0.4,30000,1
1019,27.22178934,0.4,30500,1
1020,27.22178934,0.4,30000,1
1024,39.99848586,0.4,5050,1
1025,39.99848586,0.4,5050,1
1026,39.99848586,0.4,5050,1
1027,26.49746336,0.4,17570,1
1028,26.49746336,0.4,13900,1
1029,26.49746336,0.4,17570,1
1030,26.49746336,0.4,13900,1
1031,25.91247712,0.4,15000,1
1032,25.91247712,0.4,17500,1
1033,25.91247712,0.4,17500,1
1034,24.77567431,0.4,13800,1
1035,24.77567431,0.4,19100,1
1036,24.77567431,0.4,19100,1
