Gen_Index,Name,Zone,Category,Capacity,Fuel_Cost,Can_Spin
492,Kyger Creek 3,WEST,ST,205,25,1
493,Kyger Creek 2,WEST,ST,205,25,1
494,Kyger Creek 4,WEST,ST,205,25,1
497,Bay Shore 1,WEST,ST,150,25,1
498,Bay Shore CT,WEST,CT,18,50,1
500,Richland 6,WEST,CT,135,50,1
501,Richland 2,WEST,CT,15,50,1
502,Richland 5,WEST,CT,135,50,1
503,Richland 4,WEST,CT,135,50,1
504,Richland 3,WEST,CT,18,50,1
505,Richland 1,WEST,CT,15,50,1
506,Stryker 1,WEST,CT,19,50,1
507,Brunot Island 1A,WEST,CT,20,50,1
510,Brunot Island 2B,WEST,CC,58,30,1
511,Brunot Island 4,WEST,CC,147,30,1
512,Brunot Island 2A,WEST,CC,58,30,1
513,Brunot Island 3,WEST,CC,58,30,1
514,Elrama 4,WEST,ST,175,25,1
515,Elrama 1,WEST,ST,95,25,1
516,Elrama 3,WEST,ST,105,25,1
517,Elrama 2,WEST,ST,95,25,1
518,Hamilton 1,PA_METED_PPL,CT,26,50,1
519,Hunterstown 3,PA_METED_PPL,CT,27,50,1
520,Hunterstown 2,PA_METED_PPL,CT,27,50,1
521,Hunterstown 1,PA_METED_PPL,CT,27,50,1
522,Mountain 2,PA_METED_PPL,CT,27,50,1
523,Mountain 1,PA_METED_PPL,CT,27,50,1
524,Orrtanna 1,PA_METED_PPL,CT,26,50,1
525,Portland 4,EAST,CT,26,50,1
526,Portland 1,EAST,ST,158,25,1
527,Portland 2,EAST,ST,243,25,1
528,Portland 3,EAST,CT,19,50,1
529,Portland 5,EAST,CT,156,50,1
530,Shawnee 1,EAST,CT,26,50,1
531,Titus 5,PA_METED_PPL,CT,20,50,1
535,Titus 4,PA_METED_PPL,CT,19,50,1
536,Tolna 2,DC_BGE_PEP,CT,27,50,1
537,Tolna 1,DC_BGE_PEP,CT,27,50,1
538,York Haven Hydro,PA_METED_PPL,HD,19,5,0
539,Conemaugh Diesel B,WEST,DS,3,80,1
540,Conemaugh Diesel D,WEST,DS,3,80,1
541,Conemaugh Diesel A,WEST,DS,3,80,1
542,Conemaugh 2,WEST,ST,850,25,1
543,Conemaugh Diesel C,WEST,DS,3,80,1
544,Conemaugh 1,WEST,ST,850,25,1
545,Blossburg CT,WEST,CT,26,50,1
546,Homer City 3,WEST,ST,650,25,1
548,Homer City 2,WEST,ST,614,25,1
551,Homer City 1,WEST,ST,620,25,1
552,Piney 2,WEST,HD,9,5,0
553,Piney 1,WEST,HD,9,5,0
554,Piney 3,WEST,HD,9,5,0
556,Seward 1,WEST,ST,518,25,1
558,Shawville 3,PA_METED_PPL,ST,180,25,1
559,Shawville 7,PA_METED_PPL,DS,2,80,1
560,Shawville 5,PA_METED_PPL,DS,2,80,1
561,Shawville 1,PA_METED_PPL,ST,128,25,1
562,Shawville 6,PA_METED_PPL,DS,2,80,1
563,Shawville 4,PA_METED_PPL,ST,180,25,1
564,Shawville 2,PA_METED_PPL,ST,130,25,1
565,Warren CT,WEST,CT,79,50,1
569,Keystone 2,WEST,ST,850,25,1
570,Keystone Diesel 6,WEST,DS,3,80,1
571,Keystone 1,WEST,ST,850,25,1
572,Keystone Diesel 5,WEST,DS,3,80,1
573,Keystone Diesel 3,WEST,DS,3,80,1
574,Keystone Diesel 4,WEST,DS,3,80,1
575,New Castle 5,WEST,ST,140,25,1
576,New Castle 4,WEST,ST,92,25,1
577,New Castle 3,WEST,ST,93,25,1
578,New Castle EMD B,WEST,DS,3,80,1
579,New Castle EMD A,WEST,DS,3,80,1
580,Allentown 4,PA_METED_PPL,CT,18,50,1
