Gen_Index,zone,Capacity
204,WEST,0
205,WEST,0
225,WEST,0
226,WEST,0
227,WEST,0
229,WEST,0
230,WEST,0
232,WEST,0
236,WEST,0
237,WEST,0
240,WEST,0
242,WEST,0
243,WEST,0
249,WEST,0
250,WEST,0
254,WEST,0
259,WEST,0
262,WEST,0
266,WEST,0
285,WEST,0
297,WEST,0
298,WEST,0
299,WEST,0
301,WEST,0
303,WEST,0
305,WEST,0
308,WEST,0
309,WEST,0
310,WEST,0
313,WEST,0
316,WEST,0
317,WEST,0
320,WEST,0
325,WEST,0
326,WEST,0
327,WEST,0
335,WEST,0
336,WEST,0
337,WEST,0
338,WEST,0
339,WEST,0
341,WEST,0
342,WEST,0
343,WEST,0
349,WEST,0
350,WEST,0
351,WEST,0
352,WEST,0
355,WEST,0
356,WEST,0
357,WEST,0
358,WEST,0
359,WEST,0
360,WEST,0
361,WEST,0
362,WEST,0
363,WEST,0
364,WEST,600
365,WEST,630
366,WEST,600
377,WEST,21
378,WEST,21
379,WEST,20
380,WEST,110
382,WEST,20
383,WEST,20
384,WEST,500
385,WEST,20
386,WEST,500
387,WEST,20
390,WEST,29
391,WEST,640
393,WEST,31
402,WEST,375
403,WEST,780
406,WEST,375
408,WEST,102
409,WEST,102
410,WEST,100
411,WEST,2.5
412,WEST,2.5
413,WEST,2.5
414,WEST,2.5
415,WEST,23
423,WEST,0
425,WEST,0
426,WEST,0
428,WEST,0
430,WEST,0
432,WEST,0
433,WEST,0
434,WEST,2.4
435,WEST,2.4
436,WEST,2.4
437,WEST,2.4
438,WEST,2.4
439,WEST,2.4
440,WEST,2.4
441,WEST,2.4
442,WEST,2.4
443,WEST,2.4
444,WEST,18
445,WEST,18
446,WEST,18
447,WEST,22
448,WEST,22
449,WEST,18
450,WEST,22
455,WEST,30
465,WEST,3
466,WEST,2
467,WEST,180
468,WEST,600
469,WEST,180
470,WEST,180
471,WEST,3
472,WEST,300
473,WEST,2
474,WEST,180
476,WEST,3
477,WEST,600
478,WEST,90
479,WEST,64
480,WEST,90
481,WEST,64
482,WEST,90
483,WEST,90
484,WEST,90
490,WEST,205
491,WEST,205
492,WEST,205
493,WEST,205
494,WEST,205
497,WEST,150
498,WEST,18
500,WEST,135
501,WEST,15
502,WEST,135
503,WEST,135
504,WEST,18
505,WEST,15
