,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
DC_BGE_PEP-Morgantown CT 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Morgantown CT 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Morgantown CT 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Morgantown 2,620.00,496.00,372.00,372.00,248.00,372.00,496.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,620.00,496.00
DC_BGE_PEP-Morgantown 1,624.00,499.20,442.62,374.40,249.60,374.40,499.20,624.00,624.00,624.00,624.00,624.00,624.00,624.00,624.00,624.00,624.00,624.00,624.00,624.00,624.00,624.00,624.00,499.20
DC_BGE_PEP-Morgantown CT 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Conowingo 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Conowingo 01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Conowingo 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Conowingo 09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Conowingo 07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC_BGE_PEP-Conowingo 04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
