Gen_Index,Fuel_Cost	,Pmin,start_cost,Can_Spin,Min_Up,Min_Down
Missouri Ave B,49.414422514545,0.25,600.0,1,2,1
Missouri Ave D,49.414422514545,0.25,600.0,1,2,1
Deepwater 1,21.70291473,0.4,8700.0,1,6,6
Deepwater 6/8,21.70291473,0.4,8100.0,1,6,6
Werner C3,49.414422514545,0.25,1825.0,1,2,1
Werner C2,49.414422514545,0.25,1825.0,1,2,1
Werner C4,49.414422514545,0.25,1825.0,1,2,1
Werner C1,49.414422514545,0.25,1825.0,1,2,1
Oyster Creek 1,5.22956384,0.9,318500.0,1,20,20
Sayreville C4,49.414422514545,0.25,1925.0,1,2,1
Sayreville C3,49.414422514545,0.25,1925.0,1,2,1
Sayreville C1,49.414422514545,0.25,1925.0,1,2,1
Sayreville C2,49.414422514545,0.25,1825.0,1,2,1
Gilbert 6,121.04573835271499,0.4,7000.0,1,5,4
Gilbert C4,49.414422514545,0.25,775.0,1,2,1
Gilbert C3,49.414422514545,0.25,775.0,1,2,1
Gilbert C1,49.414422514545,0.25,775.0,1,2,1
Gilbert 7,121.04573835271499,0.4,7000.0,1,5,4
Gilbert 5,121.04573835271499,0.4,7000.0,1,5,4
Gilbert 4,121.04573835271499,0.4,7000.0,1,5,4
Gilbert C2,49.414422514545,0.25,775.0,1,2,1
Gilbert CT 9,121.04573835271499,0.25,4575.0,1,2,1
Gilbert 8CC,121.04573835271499,0.4,11710.0,1,5,4
Bergen 3,49.414422514545,0.25,600.0,1,2,1
Bergen 2CC,37.3821886939545,0.4,59600.0,1,5,4
Bergen 1CC,37.3821886939545,0.4,67500.0,1,5,4
Burlington 092,49.414422514545,0.25,1300.0,1,2,1
Burlington 093,49.414422514545,0.25,1300.0,1,2,1
Burlington 124,56.544030297315,0.25,1050.0,1,2,1
Burlington 091,49.414422514545,0.25,1300.0,1,2,1
Burlington 112,49.414422514545,0.25,1300.0,1,2,1
Burlington 123,56.544030297315,0.25,1050.0,1,2,1
Burlington 113,49.414422514545,0.25,1300.0,1,2,1
Burlington 008,49.414422514545,0.25,600.0,1,2,1
Burlington 122,56.544030297315,0.25,1050.0,1,2,1
Burlington 111,49.414422514545,0.25,1300.0,1,2,1
Burlington 094,49.414422514545,0.25,1300.0,1,2,1
Burlington 114,49.414422514545,0.25,1300.0,1,2,1
Burlington 121,56.544030297315,0.25,1050.0,1,2,1
Edison 32,49.414422514545,0.25,1200.0,1,2,1
Edison 34,49.414422514545,0.25,1200.0,1,2,1
Edison 13,49.414422514545,0.25,1200.0,1,2,1
Edison 31,49.414422514545,0.25,1200.0,1,2,1
Edison 24,49.414422514545,0.25,1200.0,1,2,1
Edison 14,49.414422514545,0.25,1200.0,1,2,1
Edison 33,49.414422514545,0.25,1200.0,1,2,1
Edison 21,49.414422514545,0.25,1200.0,1,2,1
Edison 12,49.414422514545,0.25,1200.0,1,2,1
Edison 11,49.414422514545,0.25,1200.0,1,2,1
Edison 22,49.414422514545,0.25,1200.0,1,2,1
Edison 23,49.414422514545,0.25,1200.0,1,2,1
